country_clean,2020,2021,2022,2023,2024,2025
Afghanistan,39068979,40000412,40578842,41454761,42647492,43844112
Albania,2871954,2849636,2827608,2811655,2791765,2771508
Algeria,44042091,44761099,45477390,46164219,46814308,47435312
Angola,33451133,34532429,35635029,36749906,37885850,39040039
Antigua And Barbuda,91846,92349,92840,93316,93772,94209
Argentina,45191965,45312282,45407904,45538401,45696159,45851378
Armenia,2890893,2870349,2880875,2943393,2973841,2952365
Australia,25743791,25956418,26200985,26451124,26713205,26974026
Austria,8921405,8967057,9064677,9130429,9120813,9113574
Azerbaijan,10181730,10234371,10295304,10318207,10336578,10397713
Bahamas,395863,396373,397539,399441,401283,403033
Bahrain,1483077,1501764,1533459,1569666,1607049,1643332
Bangladesh,166298024,167658855,169384898,171466990,173562364,175686900
Barbados,281698,282147,282318,282336,282468,282624
Belarus,9350944,9251365,9173237,9115680,9056696,8997603
Belgium,11540107,11570844,11641820,11712893,11738764,11758603
Belize,390812,395347,402733,411106,417072,422924
Benin,13070169,13413417,13759501,14111035,14462724,14814460
Bhutan,770006,775442,780915,786385,791525,796682
Bolivia,11816300,11937360,12077154,12244160,12413315,12581843
Bosnia And Herzegovina,3299350,3244908,3204802,3185073,3164253,3140096
Botswana,2365894,2401441,2439892,2480245,2521139,2562122
Brazil,208660843,209550294,210306415,211140729,211998574,212812405
Brunei Darussalam,447404,451721,455370,458949,462722,466331
Bulgaria,6933652,6877226,6825864,6795803,6757689,6714560
Burkina Faso,21478690,21995243,22509039,23025776,23548781,24074580
Burundi,12617036,12965482,13321098,13689450,14047786,14390003
Ivory Coast,28915450,29639737,30395002,31165654,31934230,32711547
Cabo Verde,514680,516649,519741,522331,524877,527326
Cambodia,16725474,16974306,17201724,17423881,17638801,17847982
Cameroon,26210558,26915759,27632772,28372687,29123744,29879337
Canada,38171902,38454057,38821259,39299105,39742430,40126723
Central African Republic,5026629,5112100,5098040,5152421,5330690,5513282
Chad,17224679,17828274,18455316,19319064,20299123,21003705
Chile,19370624,19456334,19553037,19658835,19764772,19859921
China,1426106093,1426437267,1425179569,1422584933,1419321278,1416096094
China Hong Kong Sar,7490236,7484602,7465915,7442735,7414910,7396076
China Macao Sar,683067,694402,704357,713912,720262,722007
Colombia,50629998,51188174,51737944,52321153,52886364,53425636
Comoros,802164,818175,834188,850387,866628,882848
Congo,5752791,5892183,6035104,6182885,6332961,6484437
Costa Rica,5034320,5059988,5081765,5105526,5129910,5152950
Croatia,3953958,3924610,3907027,3896024,3875325,3848160
Cuba,11176354,11122169,11059820,11019931,10979783,10937204
Curacao,185018,185315,185345,185427,185482,185487
Cyprus,1302248,1317309,1331370,1344976,1358282,1370754
Czech Republic,10550130,10530683,10673213,10809716,10735859,10609240
D R Congo,95989998,99148932,102396968,105789732,109276265,112832473
Democtatic People's Rupublic of Korea,26136312,26232534,26328845,26418204,26498823,26571037
Denmark,5831530,5856777,5902904,5948137,5977412,6002507
Djibouti,1105189,1121248,1137096,1152944,1168722,1184077
Dominican Republic,11008300,11123476,11230734,11331266,11427557,11520487
Ecuador,17546065,17682455,17823897,17980083,18135478,18289896
Egypt,109315124,110957008,112618250,114535772,116538258,118365995
El Salvador,6234674,6255782,6280319,6309624,6338193,6365503
Equatorial Guinea,1716469,1758787,1803545,1847549,1892517,1938431
Eritrea,3291271,3350183,3409447,3470390,3535603,3607003
Estonia,1329670,1331750,1350092,1367196,1360546,1344232
Ethiopia,118917672,122138589,125384287,128691692,132059768,135472051
Fiji,914963,916711,919422,924146,928784,933155
Finland,5529612,5541075,5569299,5601186,5617311,5623330
France,65905278,66083548,66277409,66438822,66548531,66650805
French Guiana,289056,293016,298306,303402,308523,313666
French Polynesia,279209,279792,280378,281119,281807,282465
Gabon,2322539,2376722,2430747,2484789,2538952,2593130
Gambia,2515734,2576010,2636470,2697846,2759988,2822093
Georgia,3795678,3788451,3794784,3807492,3807670,3806671
Germany,83628709,83697083,84086227,84548231,84552242,84075075
Ghana,31887809,32518665,33149152,33787914,34427414,35064273
Greece,10699369,10579561,10412480,10242909,10047817,9938845
Grenada,116341,116688,116913,117081,117208,117304
Guatemala,17357326,17598651,17847877,18124838,18406359,18687882
Guinea,13371183,13710513,14055137,14405468,14754786,15099727
Guinea Bissau,2013255,2058842,2105529,2153339,2201352,2249515
Guyana,807482,815482,821637,826353,831087,835986
Haiti,11243848,11374586,11503606,11637399,11772557,11906096
Honduras,10119641,10289877,10463872,10644851,10825704,11005850
Hungary,9749457,9707850,9684306,9686464,9676135,9632287
Iceland,366614,372644,380356,387558,393396,398266
India,1402617696,1414203896,1425423213,1438069596,1450935791,1463865525
Indonesia,274814866,276758053,278830529,281190067,283487931,285721236
Iran,87723443,88455488,89524247,90608707,91567738,92417681
Iraq,42116605,43071211,44070551,45074049,46042015,47020774
Ireland,4982607,5028426,5110016,5196630,5255018,5308039
Israel,8800376,8942925,9103151,9256314,9387021,9517181
Italy,59912769,59729350,59619115,59499453,59342867,59146260
Jamaica,2830739,2837682,2839144,2839786,2839175,2837078
Japan,126304543,125679338,124997578,124370947,123753041,123103479
Jordan,10865228,11066356,11256264,11439214,11552876,11520685
Kazakhstan,19482117,19743603,20034609,20330104,20592571,20843755
Kenya,52217334,53219166,54252461,55339003,56432945,57532493
Kiribati,126099,128377,130469,132531,134518,136489
Kuwait,4400144,4360742,4589511,4838782,4934508,5026078
Kyrgyzstan,6664140,6820479,6955788,7073516,7186009,7295035
Laos,7346533,7453194,7559008,7664993,7769819,7873046
Latvia,1901124,1885587,1881063,1882396,1871872,1853559
Lebanon,5702398,5718122,5744489,5773493,5805962,5849421
Lesotho,2235727,2261542,2286111,2311472,2337423,2363325
Liberia,5149464,5259323,5373294,5493031,5612817,5731206
Libya,7045399,7135175,7223805,7305659,7381023,7458555
Lithuania,2795765,2794488,2816920,2854099,2859110,2830145
Luxembourg,630597,640274,653313,665098,673036,680454
Madagascar,28953557,29691083,30437261,31195933,31964956,32740678
Malawi,19533888,20047258,20568728,21104483,21655286,22216120
Malaysia,33889559,34282399,34695493,35126298,35557674,35977838
Maldives,502119,516154,524107,525994,527799,529676
Mali,21713836,22388631,23072640,23769128,24478596,25198822
Malta,518207,524377,528192,532956,539607,545405
Mauritania,4600131,4734875,4875638,5022442,5169396,5315065
Mauritius,1283223,1279624,1276130,1273588,1271169,1268280
Mexico,126799055,127648148,128613118,129739759,130861007,131946900
Micronesia,110917,111625,112114,112631,113161,113683
Monaco,38051,38527,38932,38957,38631,38341
Mongolia,3290786,3339674,3386015,3431933,3475540,3517100
Montenegro,607935,603851,614648,633552,638479,632729
Morocco,36584208,36954443,37329064,37712505,38081173,38430770
Mozambique,30783688,31707800,32656246,33635160,34631766,35631653
Myanmar,53016522,53387102,53756788,54133798,54500091,54850648
Namibia,2728762,2810548,2889663,2963095,3030131,3092817
Nepal,28966575,29475010,29715436,29694615,29651055,29618118
Netherlands,17636731,17730564,17904421,18092525,18228742,18346819
New Zealand,5069895,5107697,5131735,5172836,5213944,5251899
Nicaragua,6565267,6644741,6730654,6823613,6916140,7007502
Niger,23717614,24502140,25311973,26159867,27032413,27917831
Nigeria,213996181,218529287,223150896,227882945,232679478,237527782
Norway,5379274,5408091,5456802,5519167,5576660,5623071
Oman,4522497,4500424,4730226,5049269,5281538,5494691
Pakistan,235001746,239477801,243700667,247504496,251269164,255219555
Panama,4293261,4345405,4400773,4458759,4515577,4571189
Papua New Guinea,9815746,10012896,10203170,10389635,10576502,10762817
Paraguay,6603740,6684182,6760464,6844146,6929153,7013078
Peru,32838580,33155882,33475438,33845617,34217848,34576665
Philippines,112081264,113100950,113964339,114891199,115843670,116786963
Poland,38171012,38040302,38385739,38762844,38539201,38140910
Portugal,10370519,10390956,10417073,10430738,10425293,10411834
Puerto Rico,3275805,3253210,3240969,3242023,3242204,3235290
Qatar,2803375,2814982,2892455,2979082,3048423,3115889
Republic Of Korea,51858482,51848398,51782512,51748739,51717590,51667030
Moldova,3069131,3023779,3039985,3067070,3034961,2996106
Romania,19392469,19248161,19166773,19118479,19015088,18908651
Russia,146371299,145836175,145579899,145440501,144820423,143997393
Rwanda,13065837,13355260,13651030,13954472,14256567,14569341
Saint Lucia,178251,178522,178781,179285,179744,180149
Saint Vincent And The Grenadines,103526,102841,102046,101323,100616,99925
Samoa,211944,213779,215261,216663,218020,219307
Sao Tome And Principe,217435,221961,226305,230872,235537,240254
Saudi Arabia,30991207,31328375,32175352,33264292,33962757,34566328
Senegal,16789220,17220867,17651103,18077574,18501985,18931967
Serbia,6907812,6835430,6791214,6773201,6736216,6689039
Seychelles,120291,122988,125523,127951,130419,132779
Sierra Leone,7912558,8094602,8276807,8460512,8642023,8819794
Singapore,5620151,5546290,5649885,5789090,5832387,5870750
Slovakia,5455024,5442759,5473197,5518055,5506760,5474881
Slovenia,2102420,2113494,2115228,2118396,2118697,2117072
Solomon Islands,744498,762592,781066,800006,819198,838646
Somalia,16651191,17271432,17801897,18358615,19009151,19654739
South Africa,60562381,61502603,62378410,63212384,64007187,64747320
South Sudan,10698467,10865780,11021178,11483374,11943409,12188788
Spain,47679489,47735664,47828383,47911580,47910527,47889958
Sri Lanka,22561807,22700372,22834965,22971617,23103565,23229471
Palestine,5069692,5185336,5305270,5409202,5495443,5589623
Sudan,46789231,48066924,49383346,50042791,50448963,51662148
Suriname,612317,617896,623164,628886,634431,639850
Swaziland,1192730,1206594,1218917,1230506,1242822,1256174
Sweden,10353687,10416132,10487338,10551494,10606999,10656633
Switzerland,8640582,8707024,8792182,8870561,8921981,8967408
Syria,21049429,21628840,22462173,23594623,24672760,25620427
Taiwan,23663459,23558333,23420111,23317145,23213962,23112793
Tajikistan,9749311,9966909,10182222,10389799,10590928,10786734
Tanzania,60972798,62830412,64711821,66617607,68560157,70545865
North Macedonia,1872016,1851108,1840233,1831802,1823009,1813791
Thailand,71641484,71727332,71735329,71702435,71668011,71619863
Timor Leste,1326054,1350139,1369296,1384286,1400638,1418518
Togo,8669721,8878379,9089739,9304338,9515236,9721608
Tonga,105704,105490,105042,104598,104176,103742
Trinidad And Tobago,1481024,1487718,1495922,1502933,1507782,1511155
Tunisia,11974057,12048623,12119334,12200431,12277109,12348573
Turkey,86091692,86686253,87058473,87270502,87473805,87685426
Turkmenistan,6949912,7092044,7230193,7364438,7494499,7618848
Uganda,44457153,45910930,47312720,48656602,50015093,51384894
Ukraine,44680015,44298640,41048766,37732836,37860222,38980377
United Arab Emirates,9448524,9789048,10242087,10642081,11027129,11346000
United Kingdom,67351862,67668792,68179316,68682963,69138192,69551332
United States Of America,339436159,340161441,341534046,343477335,345426571,347275808
Uruguay,3398968,3396695,3390913,3388081,3386588,3384688
Uzbekistan,33586372,34243696,34938956,35652307,36361859,37053428
Vanuatu,298859,305869,313047,320409,327778,335169
Venezuela,28444078,28237826,28213017,28300854,28405543,28516896
Vietnam,98079191,98935099,99680655,100352192,100987687,101598527
Western Sahara,549365,558619,568739,579729,590506,600904
Yemen,36134864,37140231,38222876,39390799,40583165,41773878
Zambia,19059395,19603608,20152938,20723965,21314956,21913874
Zimbabwe,15526889,15797210,16069056,16340822,16634373,16950795
